frequency_index,normalized_frequency,magnitude,log_magnitude
0,0.0,1.4610369915141465e-16,1.4610369915141465e-16
1,0.0005310674455655868,0.18131316117898102,0.1666266681775056
2,0.0010621348911311736,0.12073930294497587,0.11398855945731658
3,0.0015932023366967605,0.06360304293935011,0.06166224136359608
4,0.002124269782262347,0.031101803605385555,0.03062794274533772
5,0.002655337227827934,0.03075046441106733,0.03028714316122714
6,0.003186404673393521,0.021239609061858185,0.021017192415082056
7,0.0037174721189591076,0.02507840237694858,0.024769099789003417
8,0.004248539564524694,0.026302559081004633,0.025962595168327406
9,0.004779607010090281,0.020284003107365906,0.020081022959496833
10,0.005310674455655868,0.014805803925253661,0.014697268006545717
11,0.005841741901221454,0.01232880072453235,0.012253419997792307
12,0.006372809346787042,0.012329570239067505,0.012254180140388402
13,0.006903876792352629,0.014466551001252907,0.014362908819778362
14,0.007434944237918215,0.012028578715244355,0.011956810303735086
15,0.007966011683483801,0.013702407917542826,0.013609378778302308
16,0.008497079129049389,0.008143348934084473,0.00811037078224791
17,0.009028146574614976,0.0070312734001023135,0.0070066692622434
18,0.009559214020180562,0.008886973090109952,0.008847716355685051
19,0.01009028146574615,0.010470712430124192,0.010416274195721303
20,0.010621348911311735,0.008942386493932605,0.008902640131645975
21,0.011152416356877323,0.007718098654610211,0.007688466502773816
22,0.011683483802442909,0.006987595752794739,0.006963295639499942
23,0.012214551248008496,0.0052366199996314415,0.00522295658443902
24,0.012745618693574084,0.007699666302289624,0.007670175156293108
25,0.01327668613913967,0.00679762474789489,0.00677462506676017
26,0.013807753584705257,0.007301678233205842,0.007275150035998848
27,0.014338821030270843,0.005678550286007981,0.005662488097275934
28,0.01486988847583643,0.004316421775365443,0.004307132747542486
29,0.015400955921402016,0.00520550073973604,0.005191998956187138
30,0.015932023366967602,0.0063837805814792115,0.0063634905598056275
31,0.01646309081253319,0.006046762705801727,0.006028554400192796
32,0.016994158258098777,0.005053619783045381,0.0050408931057730364
33,0.017525225703664365,0.004963028371373545,0.0049507531441798265
34,0.018056293149229952,0.0035684508955986663,0.0035620990809756025
35,0.018587360594795536,0.004201020183343884,0.004192220534446635
36,0.019118428040361124,0.0057058688545741434,0.005689652042972117
37,0.01964949548592671,0.005051368691603457,0.00503865333078135
38,0.0201805629314923,0.004814673042836578,0.0048031195738580616
39,0.020711630377057883,0.003154448100592305,0.003149483267315249
40,0.02124269782262347,0.003064401495846581,0.0030597157877361343
41,0.021773765268189058,0.003957262667351583,0.003949453299143403
42,0.022304832713754646,0.005457967075710784,0.005443126349052997
43,0.022835900159320233,0.004722092965606128,0.0047109788587818766
44,0.023366967604885817,0.0020157788187161324,0.0020137498627532465
45,0.023898035050451405,0.0024753151540065224,0.00247225660765503
46,0.024429102496016993,0.003873173135771446,0.003865691712378069
47,0.02496016994158258,0.005125642697342124,0.005112551306284658
48,0.025491237387148168,0.0028793218704870273,0.0028751845631271532
49,0.02602230483271375,0.00328181816233972,0.0032764447502790102
50,0.02655337227827934,0.0028118626057661066,0.002807916715246599
51,0.027084439723844927,0.0030463571220494096,0.003041726378407519
